"type","horse","CO2"
"Truck",300,243.589217
"Truck",300,403.85
"Truck",300,253.94
"Truck",300,421.37
"Truck",300,392.45
"Truck",300,248.42
"Truck",300,420.99
"Truck",443,470.2
"Truck",443,297.51
"Truck",443,503.03
"Car",241,317.6040369
"Car",241,190.6767543
"Car",241,315.7339889
"Car",241,185.4932276
"Car",241,315.89
"Car",241,184.61
"Car",335,235.78
"Car",335,374.05
"Car",335,454.03
"Car",335,304.74
"Car",211,198.4124197
"Car",211,295.1562901
"Car",208,303.1
"Car",208,198.54
"Car",211,282.67
"Car",211,187.25
"Car",214,324.84
"Car",214,222.4813426
"Car",214,303.98
"Car",214,207.03
"Car",208,288.67
"Car",208,192.08
"Car",122,244.47
"Car",122,172.6
"Car",122,251.55
"Car",122,175.72
"Car",122,230
"Car",122,163.7
"Car",122,173.88
"Car",122,233.11
"Car",134,232.51
"Car",134,156.4
"Car",134,163.3399949
"Car",134,239.0611064
"Car",134,170.3531579
"Car",134,254.5071058
"Car",134,244.0599905
"Car",134,167.6045486
"Car",134,255.7502525
"Car",134,167.528247
"Car",134,236.57
"Car",134,156.15
"Car",122,194.0098079
"Car",122,272.4884017
"Car",122,189.787774
"Car",122,276.0283064
"Car",122,250.75
"Car",122,173.74
"Car",122,176.57
"Car",122,238.18
"Car",122,245.08
"Car",122,169.65
"Car",122,210.72
"Car",122,275.82
"Car",122,194.28
"Car",122,258.39
"Car",180,268.9
"Car",180,186.33
"Car",180,266.64
"Car",180,187.04
"Car",180,258.66
"Car",180,180.27
"Car",180,256.72
"Car",180,176.5
"Car",189,190.98
"Car",189,262.1027269
"Car",189,187.1839312
"Car",189,276.6900218
"Car",189,292.98
"Car",189,183.79
"Car",189,265.242842
"Car",189,189.603197
"Car",189,188.6236741
"Car",189,280.0962293
"Car",189,301.47
"Car",189,194.13
"Car",180,276.81
"Car",180,192.63
"Car",180,266.75
"Car",180,176.94
"Car",180,257.38
"Car",180,175.07
"Car",180,267.47
"Car",180,183.44
"Car",180,195.52
"Car",180,273.78
"Car",180,195.26
"Car",180,261.18
"Car",180,206.8516239
"Car",180,296.1090042
"Car",180,203.25
"Car",180,270.97
"Car",228,271.9708968
"Car",228,207.8940123
"Car",228,203.7413886
"Car",228,275.79
"Car",228,194.47
"Car",228,305.99
"Car",228,205.32
"Car",1200,885
"Car",1200,636
"Car",1200,495
"Car",1200,999
"Car",1200,903
"Car",237,325.32014
"Car",237,306.665
"Car",237,195.463375
"Car",237,310.4171931
"Car",237,274.8182762
"SUV",184,300.71133
"SUV",184,170.69
"SUV",184,300.12829
"SUV",184,168.112
"SUV",184,289.6457
"SUV",184,162.443
"SUV",184,160.968
"SUV",184,284.79152
